Question,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4
Name Someone Specific In A Bank Robber’s Life That he Doesn’t Want To Find Out About His Illegal Activity,Parents,48,Spouse,31,Parole Officer,12,Children,7
Name Something On A Kids’ Playground That Adults Could Use As Exercise Equipment.,Monkey Bars,66,Swing,24,See Saw,6,Chinup Bar,3
What Event Might Someone Attend Without Their Spouse That Would Make You Think They Broke Up?,Wedding,52,Party,32,Reunion,6,Christmas,5
Name Something That Every Family Does Immediately When They Win Family Feud,Scream,52,Jump,25,Hug,12,Clap,7
Tell Me A Place In The Newspaper Where You Wouldn’t Want To See Your Name.,Obituaries,48,Front Page,27,Crime Log/Courts,15,Classified,9
Name Something Women Talk About During A “Girls’ Night Out.”,Dating/Relationships,63,Kids,14,Work,11,Clothes,9
Name Something That Causes A Person To Laugh.,Jokes,39,Being Tickled,33,TV Show/Movie,13,Clown,11
Name A Breed Of Dog That Would Never Scare Away A Burglar.,Chihauhua,45,Poodle,41,Dashound,8,Cocker Spanial,6
Name A Responsibility That Most Married Couples Share,Finances,43,House Chores,26,Childcare,22,Cooking,5
"If You Could Have Just One Chore That Someone Else Would Always Do For You, What Would It Be? (More Specific Than “Clean.”)",Wash Dishes,49,Laundry,27,Clean Toilet,14,Cooking,6
Name A Halloween Costume That Is A Complete Misrepresentation Of The Occupation It Portrays.,Nurse,61,Doctor,16,Housekeeper,13,Cop,8
Name Something People Wore More Of In The 1800s Than They Do Today,Hats/Bonnets,45,Dresses/Hoop Skirts,25,Wigs,16,Corsets,12
Name The Best Kind Of Music To Dance To With Someone You Want To Be Close To,Slow,36,Waltz,33,Jazz,20,Country,7
What Signs Of Being A “Bad Boy” Might A Woman Be Attracted To?,Tattoos,41,Motorcycle,28,Rebelious Outfit,24,Criminal Record,3
"Even Though It’s A Beautiful Place To Visit, Name A Reason Why You Might Not Want To Live In Hawaii",Far Away,41,Rains Too Much,21,Expensive,16,Crowded,16
Name Something That May Include A Meal In The Ticket Price.,Concert,42,Flight,28,Movie,15,Cruise,12
"If A Groom Was Extremely Nervous About Getting Married, What Might He Do At The Alter?",Faint,46,Sweat,32,Run,14,Cry,4
Name Something You Do When Your Computer Freezes Up.,Re Boot,49,Walk Away,29,Yell,11,Curse,6
"Past Or Present, Name A Famous Magician",Harry Houdini,60,David Copperfield,17,Merlin,14,David Blane,7
Which Endearment Would Many Women Be Annoyed To Hear A Stranger Call Them By?,Honey,50,Baby,29,Sweetie,10,Dear,10
"If Dog Owners Demanded Fido Get A Job, What Job Might He Be Good At?",Guarding/Security,58,Digging Holes,20,Track People/Police,11,Deliver Papers,6
Name A Piece Of Information That You Write Down When You’re On Your Way To Meet Your Blind Date.,Address/Location,40,Dates Name,32,Phone Number,14,Description Of Date,8
Name Something From School That A Kid Might Try To Hide From Their Parents.,Report Card/Grades,50,Note From Teacher,21,Homework,17,Detention/Discipline,9
Name Something You Never Leave Unlocked. (More Specific Than “Door”.),Car,36,Safe,30,House,27,Diary,5
Name A Topic That People Might Whisper About.,Their Love Lives,46,Infidelity,35,Rumor,7,Divorce,6
Name A Person Or Character Who Is Referred To As “Lady.”,Lady Gaga,33,Royalty/Princess Diana,30,First Lady,20,Dog/Lady And The Tramp,16
Name Something People Go To A Professional To Have Cleaned.,Teeth,59,Clothes,29,Carpet,9,Drapes,2
"Name Something A Game Show Host Has To Do, Even On A Day When He Doesn’t Feel Like It.",Put On A Happy Face,44,Make Conversation,37,Go To Work,15,Dress Up,3
Tell Me Something That Americans Want To Do While Visiting France.,Eat French Cuisine,58,Shop,18,See Eiffel Tower,18,Drink Wine,4
Name Something A Driver Might Do That Would Cause You To Write Down His Car’s License Number.,Hit And Run,24,Cut In Front,20,Drunk Driving,16,Drive Recklessly,6
"What Might A Chef Do While Cooking, That Would Ruin The Whole Dish?",Burn It,45,Sneeze,32,Too Much Salt,11,Drop It,8
Name A Game You Need Dice To Play.,Monopoly,45,Yatzee,34,Craps,14,Dungeos & Dragons,5
Name Something It’s Probably Much Harder To Do In Outer Space Than It Is On Earth.,Breathe,37,Walk,34,Go To The Bathroom,16,Eat,13
"If You Were Dating A Real Knight In Shining Armor, Name Something You’d Have Difficulty Doing Together.",Kissing/Snuggling,47,Walking,19,Dancing,14,Eating,14
Name An Actor Who Uses Or Used Their Middle Initial.,Michael J Fox,66,Samuel L Jackson,13,George C Scott,11,Edward G Robinson,9
Name Something That Can Be Stuffed.,Turkey,45,Animals,41,Pillows,5,Eggs,4
Name Something People Try To Squeeze Into (More Specific Than “Clothes”).,Jeans,40,Gown,27,Car,22,Elevator,7
Which Part Of A Newspaper Would A Teenager Likely Read First?,Comics,51,Sports,38,Horoscope,4,Entertainment,3
Name A Big Event That Happens To TV Characters In Order To Up Ratings.,Death,44,Wedding,36,New Baby,10,Fall In Love,6
Name A Day Of The Year When Most People Call Home.,Christmas,65,Mother’s Day,22,Thanksgiving,8,Family Birthday,3
Name Something People Know More About If They Read The Tabloids In The Checkout Line.,Celebs/ScandlesCelebs/Scandals,73,Aliens,13,Diets,8,Fashion,4
What Would You Have To Learn To Do Before Starring In A John Wayne Movie?,Ride A Horse,56,Shoot,17,Act,13,Fight,11
Name Something Our Ancient Ancestors Might Have Danced To Celebrate.,Rain,37,Wedding,31,Birth,20,Finding Food,7
Name The Hardest Position To Play On A Baseball Team,Pitcher,41,Catcher,39,Shortstop,12,First Base,8
Tell Me Something You Might Find In A Bankrobber’s Suitcase.,Money,57,Weapon,34,Mask,6,Flashlight,3
Name Something You Would Be Surprised To Find In A Bachelor’s Bathroom,Feminine Products,46,Make Up,26,Perfume,14,Flowers,9
Name Something That People Normally Don’t Pay Cash For.,Car,53,Gas,20,House,20,Food,5
Name A Body Part That Often Gets Broken,Arm,47,Leg,28,Finger,17,Foot,4
"Besides Math, Name The Most Difficult Subject In School",Science,48,English,27,History,18,Foreign Language,3
Name Something You Do To Prepare For Out-Of-Town Visitors.,Clean,56,Cook,28,Buy Food,12,Freshen Up Room,3
Tell Me The First Big Item You Buy When Moving To A New House.,Bed,32,Couch,30,TV,26,Fridge,8
Name Something That Has Pineapple In It.,Upside Down Cake,60,Pizza,15,Drink,12,Fruit Salad,8
Name Something Bad That Might Happen TO A Magician’s Assistant During A Performance.,Cut In Half,46,Disappear,25,Trip,14,Get Hit By A Knife,13
Name An Event That Men Are Usually Not Invited To,Baby Showers,54,Bridal Showers,32,Bachelorette Party,7,Girls Sleepover,2
Name A Dessert That Can Only Be Eaten With A Spoon.Name Something A Man Might Still Do For Woman When They Go Out On A Date,Open Doors,76,Pay For Dinner,14,Compliment Her,4,Give Her Flowers,2
Name Something People Often Lose,Keys,47,Money,39,Minds,6,Glove,3
Name A Color Baby Clothes Comes in.,Pink,50,Blue,37,Yellow,11,Green,2
"Name A Breakfast Item That You Order, But Can Never Finish",Pancakes,51,Omelet,36,Coffee,6,Grits,4
What Do You Do When Someone Tells A Joke That’s Not Actually Funny?,Smile,45,Fake Laugh,42,Ignore It,7,Groan,4
"At The End Of The Day, Name Something Indiana Jones Might Put Away In His Closet.",Hat,42,Whip,38,Knife,9,Gun,8
Name A Part Of A Doll’s Body That Might Be Movable,Head,47,Arms,28,Legs,13,Hand,7
Name Something That’s More Likely To Happen To You If You’re Hanging Out At A Bar.,Get Drunk,52,Get In A Fight,32,Get Hit On,6,Have A Cigarette,5
How Can You Tell The Jewelry Your Partner Gives You Is Made Of Fake Gold?,Turns Skin Green,56,Bite It/Bendable,30,Scratches Easily,8,Have It Appraised,3
"What Might You Want To Bring With You, When Babysitting An Infant Who Cries A Lot?",Pacifier,38,Ear Plugs,36,Toys,19,Headphones,6
Name The Worst Thing To Criticize Your Mother-In-Law For,Her Cooking,37,Her Parenting,38,Her Appearance,25,Her Housekeeping,9
Name Something You Do While Birdwatching That You Might Also Do While Hunting,Shoot(Picture),44,Use Binoculars,32,Be Quiet,25,Hide,7
Name An Activity For Which You Might Use Walkie Talkies.,Camping,46,Hiking,37,Hunting,25,Hide And Seek,10
"If Einstein Failed A Subject In School, What Might It Have Been?",English/Language,41,Physical Ed,34,Art,13,History,9
Name A Sport That You Can’t Play Without A Team,Football,39,Baseball,31,Soccer,17,Hockey,9
Name Another Word For A “Bar” That A Cowboy Might Use,Saloon,51,Tavern,47,Watering Hole,13,Honky Tonk,5
Tell Me An Excuse That A Tough Guy Might Give If He Were Caught Watching A Soap Opera,By Mistake,32,For Wife,31,Asleep,25,Hot Actress,8
What Kind Of Food Should Not Be Served At A Wedding?,Pizza,44,Hamburgers,21,Sanswiches,16,Hot Dogs,15
Name An Occupation You’d Be Tempted To Enter If You Liked To Snoop,Espionage,34,Police,26,News Reporter,22,Housekeeping,10
Name A Book Where The Main Hero Is A Kid.,Harry Potter,76,Peter Pan,10,Tom Sawyer,9,Huck Finn,3
Name An Announcement That You’d Hate For Your Boss To Overhear You Making,I’m Quitting,43,I’m Pregnant,29,I Got A New Job,23,I Hate This Job/Boss,11
Name Something Specific A Rental Car Company Checks When You Return Your Car.,Mileage,38,Gas,34,If There Is Damage,15,If It is Clean,12
Name Something Embarrassing That You Might Do While Listening To Headphones.,Sing,52,Speak Loudly,22,Dance,13,Ignore Someone,8
"If You Were Able To See The Future, Name A Way That You’d Be Able To Make A Lot Of Money.",Lottery Numbers,52,Betting/Horse Races,20,Investment,18,Invention,9
Name Something About Alaska That Non-Residents Might Romanticize,Snow/Cold,54,Wildlife,18,Darkness,16,Isolation/Nature,9
Name Something A Carjacker Would Hate To Discover About The Car He Stole,Out Of Gas,42,It’s A Police Car,22,Fas GPS,19,It Doesn’t Run,13
Name Something You Might Find An Olive In.,Martini,67,Salad,18,Pizza,10,Jar,3
Tell Me A Game Show That’s Been Around Forever.,Price Is Right,59,Family Fued,14,Wheel Of Fortune,14,Jeopardy,9
We Asked 100 Husbands: Name Something Your Wife Spends More Money On Than You Do.,Clothes,58,Hair Products,27,Make Up,7,Jewelry,4
Name A Kind Of beam You Wouldn’t Want To Balance On.,Light/Sun Beam,44,Laser Beam,28,Roof Beam,20,Jim Beam,3
Name An Athlete Who’s Appeared On A Wheaties Box.,Tiger Woods,44,Michael Jordan,38,Mary Lou Retton,12,Joe Montana,5
"Past Or Present, Name A TV Judge.",Judge Judy,63,Judge Mathis,20,Judge Wapner,7,Judge Joe Brown,6
Name Something People Are Often Trying To Get Out Of Doing.,Work,38,Homework,35,Chores,14,Jury Duty,13
Name Something Parents Should Do To Be Sure That Their Kids Have A Safe Halloween.,Go With Them,47,Check Candy,28,Bright Costume,16,Keep Home,7
Name An Organ In The Body That Many People Should Take Better Care Of,Heart,37,Liver,26,Lungs,23,Kidney,13
Name Something That People Could Watch For Hours.,TV/Movies,66,Pets/Animals,12,Sports,12,Kids,8
Name A City Associated With Organized Crime,New York,53,Chicago,34,Los Angeles,7,Las Vegas,5
Name A Popular Flavor Of Sherbet.,Orange,76,Lime,12,Strawberry,7,Lemon,5
Name Something You Started Seeing Less Of Since Cell Phones Became Popular,Pay Phones,36,Home Phones,26,Pagers,23,Letters,11
Tell Me Something You Might Buy For The Prom,Dress/Tux,59,Corsage,29,Shoes,7,Limo,3
"Name Someone, Real Or Fictional, Whose Name Starts With Little",Little Richard,30,Little John,25,Little Red Riding Hood,24,Little Bo Peep,19
Name Something A Cat In A Movie Can Do That A Real-Life Cat Can’,Talk,58,Sing,21,Dance,7,Live Nine Lives,5
Name A Famous Pirate,Jack Sparrow,44,Captain Hook,33,Blackbeard,19,Long John Silver,3
Name Something People Do More Of When They’re Tired,Sleep,50,Yawn,25,Eat,9,Lose Temper,5
Name Something You Tell Someone Is Going To Hurt You More Than Them.,Spanking,46,Breaking Up,28,Shot,14,Loss Of Privileges,9
Tell Me Something A Dog Can’t Stand.,Cats,61,Getting A Bath,18,Vacuum Cleaner,5,Mail Carrier,5
Name A Skill That Parents Hope Their Children Have By The Time They Buy A Home.,Good With Money,45,Cooking,26,Cleaning,14,Maintainance,11
Name Something That Dogs Are Always Able To Do That People Can Only Do On A Camping Trip.,Pee Outside,50,Sleep Anywhere,28,Catch Food,12,Make Lots Of Noise,8
"In Today’s World, Name Something That Helps People Stay “Forever Young.”",Plastic Surgery,39,Exercise,35,Vitamins,10,Makeup,6
Name A Famous Person Whose Last Name Is Allen,Woody Allen,34,Tim Allen,30,Debbie Allen,23,Marcus Allen,8
Name A Place Where You Need An Appointment.,Doctor,63,Dentist,22,Hair Salon,8,Mechanic,3
Name Something You Would Not Want To Buy At A Dollar Store.,Food,45,Clothes,37,Birth Control,11,Medicine,5
Tell Me A Nickname For A Woman Named “Margaret.”,Marge/Margie,36,Maggie,31,Peggy/Peg,17,Meg,13
Name A Cartoon Character That Can Fly,Dumbo,47,Tinkerbell,24,Peter Pan,19,Mighty Mouse,8
Name A Place Where You Might See A Bear.,Woods,48,Zoo,32,National Park,14,Mountains,5
Name Something You Might See Pictured On A Postcard From Alaska.,Snow,42,Iceberg,31,Polor Bear,14,Mountains,9
What Must A Town Have To Make It A Popular Winter Destination?,Snow,44,Skiing,32,Resorts,13,Mountains,7
"If You Were Staying Overnight At A Friend’s And Forgot Your Toothbrush, Name Something You Might Do.",Use My Finger,59,Buy A New One,19,Ask For An Extra,9,Mouthwash,9
Name Something A Parent Might Scold A Child For Interrupting,Conversation,59,Date,18,Work/Meeting,11,Movie/TV Show,10
Name A Specific Chore Kids Do In Order To Get An Allowance.,Wash Dishes,44,Take Out Trash,26,Clean Room,15,Mow Lawn,10
Name A Party Game That You’d Be Surprised To Find At An Adult’s Birthday.,Pin The Tail,54,Twister,20,Spin The Bottle,13,Musical Chairs,9
We Asked 100 Women To Fill In The Blank: I’d Notice Right Away If _____ Was Missing From My Purse.,Money,52,Make Up,34,My Cell Phone,6,My Keys,4
"When Meeting A Blind Date, Name An Accessory You Might Wear So They Know It’s You.",Hat,35,Jewelry,28,Flower,24,Nametag,10
Name A Place In The World Where People Might Go To Get Married,Las Vegas,61,Hawaii,19,Paris,16,Niagra Falls,3
How Could You Tell That Someone’s ID Is Fake?,Photo Doesn’t Match,57,Made Up Name,28,Expired Date,10,No Seal,3
Name A Complaint A Person Might Have About Their Cable TV Company.,Bad Reception,38,Cost To Much,30,Bad Service,15,Not Enough Channels,12
Name A Term That Describes Someone Who Comes In At First Place,Winner,85,Champion,5,Early Bird,3,Number 1,2
Name Something You Associate With Jerry Lewis.,Telethon,58,Comedy,17,Dean Martin,13,Nutty Proffesor,8
"When Shopping, Name A Way You Can Tell If Someone Is A Sales Clerk",Name Tag,59,Wears Uniform,32,Follows You,3,Offers Help,3
Name Something You Might Do To Keep Your House Cool On A Hot Day,Air Conditioning,73,Turn On The Fan,13,Close Blinds,9,Open Windows,5
Name A Celebrity Who You’d Like To Be BFFs With Just So You Could Get The Scoop On Her Personal Life.,Angelina Jolie,45,Jennifer Aniston,23,Kim Kardashian,12,Oprah,6
Name A Fruit Juice That’s Very Bitter.,Grapefruit,37,Lemon,32,Cranberry,19,Orange,10
"If James Bond Were A Real Man, Name Something That Probably Would Have Happened To Him By Now.",He’d Be Dead,70,Gotten Old,15,Gotten Injured,6,Out Of Work,5
Name Something You’d Love To Wake Up To The Smell Of. (More Specific Than “Food.”),Coffee,41,Bacon,34,Flowers,17,Pancakes,6
"In The Office, Name Something That People Borrow But Almost Never Return?",Pen/Pencil,51,Money,26,Stapler,10,Paper,6
We Asked 100 Wives: Name Something Specific You Wish Your Husband Would Be More Helpful With Around The House,Dishes,42,Laundry,31,Cooking,14,Parenting,11
Name A Reason Why You Wouldn’t Want Metallica As Your Wedding Band,Too Loud,52,Not Romantic,34,Too Expensive,5,Parents Disapprove,5
Name A Reason Why A Teen Might Swear Off Love.,Broken Heart,52,Too Young,30,Scared Of It,11,Parents Foebid It,6
Name The Most Romantic Place To Go On A First Date.,Beach,46,Restaurant,32,Movie Theatre,15,Park/Picnic,5
Name A Family Tradition People Might Have For Winter Holidays.,Cooking,40,Travel,36,Caroling,16,Party,6
Name Something Your Husband Would Like To Get Rid Of.,Ball & Chain,43,Extra Pounds,28,Debt,13,Pets,11
Name Something A Grown Child May Leave In Storage At His Parents’ House,Old Clothes,35,Toys,33,Funiture,22,Photos,5
Name Something That You Shouldn’t Have To Do On Your Birthday.,Work,45,Clean,35,Cook,12,Play,3
Name Something You’d Need In Order To Play A Game Of Basketball,Basketball,59,Hoop,25,Court,5,Players,4
"If Someone Turned You Upside Down, Name Something That Would Fall Out Of Your Pockets.",Car Keys,54,Wallet,33,Pen,5,Pocket Knife,3
Name Something You Might Find Out About A City That Would Make You Change Your Plans To Visit.,Crime Rate,47,Weather Forcast,26,Natural Disaster,15,Political Conflict,7
Name Something People Cover When It Rains,Head,28,Car,17,Outdoor Furniture,7,Pool,3
"Other Than Nice Houses, Name A Sign That You’re In A Well-To-Do Neighborhood.",Nice Cars,46,Manicured Lawns,27,Clean streets,17,Pools,10
Give Me Another Name That Kids Use For “Father”,Dad,51,Daddy,28,Papa,10,Pop,8
Name Something People Imagine They’d See On Every Street In Hollywood,Celebrities,57,Bright Lights,16,Palm Trees,15,Prints On Sidewalk,8
Name A Reason A Person Might Prefer To Walk On A Treadmill Instead Of Taking A Walk Outside.,Weather,62,Safer,17,Watch TV,11,Privacy,8
"If You Can’t Find Your Eye Glasses, Where Should You Look?",On Your Head,41,Table/Night Stand,22,In The Car,19,Purse,13
"Name Something You Do For Your Child, And Your Child Does For Her Imaginary Friend.",Feed,65,Talk,13,Play With,13,Read,4
Name Something A Parent Might Do To Help Their Baby Fall Asleep.,Sing Lullaby,53,Rock Them,32,Feed Them,9,Read To them,4
Name A Subject In School That Would Have Helped Santa Do His Job?,Math,44,Geography,25,Wood Shop,24,Reading/Spelling,5
Name Something That Happens To People When They’re Experiencing An Allergic Reaction.,Hives,38,Sneezing,31,Swelling,22,Red Eyes,6
Name A Red Colored Frozen Yogurt Topping.,Strawberry,48,Cherry,37,Raspberry,9,Red Sprinkles,3
"At A Restaurant, What Do You Do If Your Meal Doesn’t Taste Very Good.",Send Back/New Dish,40,Complain,24,Just Eat It,16,Refuse To Pay/Refund,8
"If You Wanted To Have Conversation With Someone, Name A Noisy Place You’d Avoid.",Bar,61,Concert,16,Mall,14,Restaurant,4
Name An Event Many People Don’t Like To Attend Without A Date,Wedding,49,Prom,28,Party,16,Reunion,3
Tell Me A Reason You’d Hate To Run Into Your Boss At The Beach.,Called In Sick,47,Skimpy Suit,28,You’re Drinking,14,Ruin A Good Time,9
"Without Seeing Them Steal, Name Something That You’d See A Person Do To Make You Suspicious That They’re Shoplifting.",Looking Around,59,Big Coat,25,Hands In Pocket,9,Run,3
What Kind Of Athlete Would Have An Unfair Advantage In A Roller Derby?,Ice/Speed Skater,49,Football Player,20,Hockey Player,20,Runner,8
Name Something Teens Think They Understand Long Before They Really Do.,Love,52,Life,23,Money,11,Safe driving,3
What Happens To Your Body That Lets You Know You’re Getting Old?,Werinkles,54,Aches,20,Gray Hair,14,Sagd,8
Name A Sound That Gives You A Headache If You Hear It For Too Long.,Siren,45,Horn,23,Music,20,Screaming Baby,7
Name Something Teens Should Have To Promise Never To Do Before Getting A Cell Phone.,Talk While Driving,39,Prank Call,25,Go Over Minutes,23,Send Dirty Texts,9
Name A Number Associated With A Used Car That You’d Want To Know Before Buying It,Price,48,Mileage,27,Year Made,15,Serial Number,6
"When You’re Stuck In A Rut, Name An Activity That Can Pull You Out",Exercise,40,Going Out,30,Vacation,14,Shopping,12
Name Something A Hitchhiker Might Do To Get Noticed.,Stick Thumb Out,47,Hold Out A Sign,41,Wave,6,Shout,2
Name Something A Good Neighborhood Kid Might Do For His Elderly Neighbor,Mow Lawn,58,Take Out Trash,19,Rake Leaves,11,Shovel Snow,10
What Would A Beauty-Obsessed Person Take Longer To Do?,Fix Hair,40,Put On Make Up,30,Get Dressed,19,Shower,8
Name Something A New Parent Tries To Do While The Baby Is Napping.,Nap,54,Clean,27,Spend Time Togeather,8,Shower,6
For What Specific Reason Might You Avoid Mistletoe?,Bad Breath,53,Nobody To Kiss,34,Sick,7,Shy,3
Name A Fact That Most Residents Don’t Know About Their Own State,Population,49,State Flower,26,State Bird,16,Size,6
Name Places Where You Might See Santa,Mall,50,North Pole,32,Home,13,Sky,4
Tell Me Something Your Body Can’t Live Without.,Water,69,Food,15,Air,6,Sleep,5
"Name Something People Do On Spring Break, But Not On An Ordinary Vacation.",Party,41,Drink,22,Go Naked,14,Sleep All Day,13
Name Something At A Playground That You’d Never Go On While Queasy.,Merry Go Round,52,Swing,24,See Saw,13,Slide,6
Name The Worst Kind Of Footwear To Run A Marathon In.,High Heels,68,Boots,14,Sandals,13,Slippers,3
Name A Cartoon Character Whose Head You Might Find At The Top Of A Pez Dispenser.,Bugs Bunny,34,Mickey Mouse,28,Donald Duck,21,Snoopy,13
"In A Romantic Movie, What Event Often Happens At The Movie’s Finale?",Kiss,50,Wedding,27,Couple Begins Dating,12,Someone Dies,10
Name Something About Love That Some People Believe In And Others Don’t.,Love At First Sight,34,Endless,28,Fate,26,Soul Mate,9
"Name A Talent That Can’t Be Learned, But That You Must Be Born With",Singing,55,Dancing,27,Drawing,11,Sports,3
Name A Type Of Photo That Most People Don’t Smile In.,Passport,35,Mug Shot,32,Driver’s License,25,Sports Photo,5
Name A Bad Job For Someone Who Always Tells The Truth.,Lawyer,37,Used Car Sales,21,Politician,20,Spy,17
Name Something A Teacher Might Make Students Do During An Emergency Drill.,Leave Classroom,40,Duck And Cover,30,Form A Line,18,Stay Calm,9
Name Something A Teenager Might Try To Get Away With When Their Parents Are Out Of Town.,Throwing A Party,36,Boy/Girlfriend Over,29,Drinking,20,Staying Out Late,13
Name Something You Might Adjust When You Get Into A Rental Car.,Seat,61,Mirrors,29,Seat Belt,6,Steering Wheel,4
Name Something On A Baby That Often Looks Big Compared To The Rest Of Their Body.,Head,51,Ears,11,Eyes,10,Stomach,6
If A Child Were Raised By Squirrels Name Something He’d Be Good At.,Climbing,49,Cracking Nuts,35,Running,7,Storage In Cheeks,4
Name A Place Where You Hear People Being Paged Over A Loudspeaker,Hospital,32,Airport,28,School,20,Store,19
Name Something You Associate With Wall Street,Stock Market,60,Money,21,Wall Street Journal,10,Suites And Ties,4
Name A Type Of Oil People Never Put On Food.,Motor,75,Baby,8,Caster,8,Suntan,4
Name Something You’d Need If You Were Going To Impersonate Mickey Mouse,Big Ears,80,Higher Pitch Voice,7,Costume,5,Tail,3
Tell Me Something A Person Might Ask Their Partner To Quit.,Smoking,60,Drinking,25,Job,7,Talking,5
Name A Person In Your Life That You’d Be Mortified To Call By The Wrong Name.,Partner,55,Family,26,Boss,14,Teacher,3
Name Something That Has To Be Taken Out Every Once In A While,The Trash,54,The Dog,28,Your Mate,6,Teeth/Dentures,4
Name A Type Of Repairman You Might Call To Your House In An Emergency.,Plumber,79,Electrician,13,Gas Man,2,Telephone Service,2
"During A Long Distance Bus Trip, Name Something You’d Be Disappointed To Learn That The Bus Didn’t Have",Bathroom,46,Air Conditioning,29,Gas,11,Television,10
Name Something A Mansion Has That Requires Hired Help To Maintain.,Garden,44,Pool,39,Lots Of Rooms,8,Tennis Courts,7
Name Something People Do That Ticks Off Animal Activists,Wear Fur,48,Hunting,22,Eat Meat,14,Tests,12
If You Wanted To Marry A Cowboy Where Would You Start Hanging Out?,Rodeo,31,Saloon,30,Farm,27,Texas,7
Name Something College Freshmen Have To Start Sharing When They Live In The Dorms.,Bathroom,35,Their Room,26,Refrigerator,19,Textbooks,6
Name The Worst Thing About Going To The Drive-In.,Weather,36,Waiting,27,Can’t Hear,18,The Bathroom,15
Name Something About The Brady Bunch That Is Different From Most Families.,Lot’s Of Kids,42,Too Happy,32,Maid,14,Thet Sing,8
"Other Than Fight, What Does A Pro Wrestler Do That A Kid Would Get In Trouble For Copying?",Bad Language,41,Jump From Things,27,Yell,18,Throw Things,10
Name A Phrase You’d Say To Your Partner That Starts With “You Drive Me __.”,Crazy/Nuts,58,Wild,17,Up A Wall,11,To Drink,9
Tell Me A Food That Goes From Your Freezer To Your Toaster.,Waffle,45,Bread,30,Bagel,17,Toaster Strudel,3
Name Something You’d Hate To Have Happen While House-Sitting,Fire,63,Get Robbed,14,Break Something,14,Tornado,5
Name Something You Use From The Kitchen When You’re Working In The Garage.,Knife,60,Scissors,18,Soap,15,Towel,3
What’s The Best thing To Have On The Radio While On Your Morning Commute?,Music,46,Talk Show,22,News,21,Traffic report,9
"Name Something You’d Put On A Poodle, But Not A Pitbull",Bow/Ribbon,49,Sweater,37,Diamond Collar,9,Tutu,3
Name Something You Rent,Home,50,Car,38,Movies,7,Tuxedo,3
Name Something People Often Leave In Their House With A Free Sign On It?,Furniture,65,Clothes,12,Kittens/Puppies,10,TV,10
Name A Country With A Very Long Name,Afghanastan,31,Austrailia,25,Switzerland,20,U.S.Of America,19
Name Someone Who Could Show Up In A Will That Would Be A Big Surprise To The Deceased’s Family.,Mistress/Lover,49,Ex,29,Pet,12,Unknown Child,5
Name Something Every Fairy Tale Needs,Happy Ending,40,Prince,28,Princess,26,Villian,4
Name A Reason A Policeman Might Say He Had A Bad Day On The Job.,Got Shot,52,Someone Was Murdered,15,Couldn’t Catch Crook,15,Visited The Morgue,10
Name A Specific Button On A Clock Radio,Snooze,76,Set Alarm,8,AM/FM Switch,6,Volume,5
Name A Phone Company That Offers Low Long Distance Rates,AT&T,54,Sprint,26,MCI,13,Vonage,7
Name Something A Romantic Man Would Hate For The Woman He’s Serenading To Do While He’s Singing,Laugh/Tease,45,Yawn/Sleep,33,Talk/Use Phone,14,Walk Away,6
Name Something Donald Duck Does That Most Ducks Don’t,Talks,75,Wears Clothes,11,Throw Tantrums,7,Walks Upright,2
Name Something A Kid Might Get To Do When Sleeping Over At A Friend’s House That He Doesn’t Do At Home,Stay Up,85,Eat In Bed,7,Play Games,2,Watch Scary Movie,2
Name Something You Hate To See Ahead Of You While Riding A Roller Coaster?,Steep Drop,46,Loop,18,Incline,17,Water,15
Name Something That’s Used To Pave A Driveway,Cement,44,Asphalt,38,Steam Roller,8,Water,6
Name A Place Where You Often End Up Overeating,Buffet/Restaurant,66,Home/Mom’s House,14,Party,10,Wedding,7
Name A Phrase That A Cool Guy Might Use To Say Hello,What’s Up,34,Hey,29,Yo,23,What’s Happening,10
Name Something You Associate With Betty White.,Golden Girls/Acting,50,Comedienne,21,Her Age,17,White/Blonde Hair,10
"Besides Their Kids, Name Something That Might Keep New Parents Awake At Night.",Dog,35,Each Other,23,TV,19,Worry,18
"Who Was On The Phone The Last Time You Said, “Don’t Call Here Anymore”?",Telemarketer,45,Ex,34,Bill Collecter,15,Wrong Number,5
"Name A Situation Where You Might Hang Up On An Answering Machine, For Fear Of Saying Something Dumb.",Asking For Date,31,Job Interview,28,Break Up,26,Wrong Number,13
Name Something That You Don’t Want Your Dog To Lick (More Specific Than “You”).,Your Face,50,It’s Rear End,29,Your Food,16,Your Feet,4
Name Something That People Hope Will Last Forever,Love/Marriage,58,Life,22,Finances,15,Youth,4
Name An Expense On A Business Trip That The Company Would Be Expected To Reimburse.,Hotel,45,Meals,37,Rental Car,10,Airplane Ticket,8
"If Doc Were To Examine The Other 6 Dwarfs, Whose Problem Might He Try And Medicate?",Sneezy,31,Sleepy,24,Grumpy,22,Bashful,9
Name A Creature Who Would Be Rich If They Were Paid For All The Work They Seem To Do.,Ant,43,Beaver,24,Horse,19,Bee,9
Name Something Malls Do To Get Shoppers In The Christmas Spirit.,Decorate,43,Holiday Music,32,Holiday Sales,9,Bring In Santa,8
Name An Excuse That Bosses Are Probably Tired Of Hearing From Late Employees.,Slow Traffic,51,Wasn’t Feeling Well,19,Alarm Didn’t Go Off,15,Car Trouble,14
