Question,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4,Answer 5,#5
Name A Country That Usually Does Well In The Olympics.,United States,73,Russia,15,China,5,England,4,Germany,3
Name something a teenager would hate to be the last of their friends to do.,Drive,38,Date,30,Graduate,13,Hit puberty,11,Get a phone,5
"What Might You Do On Friendly Feud, That Makes Your Family Upset With You?",Give Wrong Answers,54,Lose Fast Money,23,Yell,8,Swear,5,Give No Answer,4
Name Something You Use To Decorate Your Face For Halloween,Paint,64,Mask,19,Fake Blood,5,Clown Nose,4,Glitter,3
What Might A Health Inspector Find In A Restaurant That Causes It To Get A Poor Score?,Rodents,41,Bugs/Roaches,27,Dirty Dishes,16,Mold,5,Hair,5
Name Something People Serve With Biscuits.,Gravy,56,Butter,24,Mashed Potatoes,6,Jelly,5,Honey,5
Name A Piece Of Information You’d Include In A Personals Ad But Not On A Resume.,Age,57,Height,13,Marital Status,12,Weight,11,Horoscope Sign,4
Name Something Specific That People Flip,Coin,44,Pancake,26,Burger,13,Hair,8,House,6
Name A Famous Howard.,Howard Stern,61,Howard Hughs,14,Howard Cosell,8,Howard johnson,6,Howard The Duck,5
Name Something That Would Make You Suspicious If Your Date Said He Didn’t Have Any.,Money,47,Friends,21,Family,15,Exes,8,Identification,6
Name Something Peoiple Subscribe To By Month,Magazine,54,Newspaper,28,Cable,7,Gym,5,Internet,3
Name Something A Baby Doesn’t Have That Most Adults Do,Teeth,49,Hair,34,Car,7,Money,4,Job,3
Name a profession that would help you be good at solving crossword puzzles.,Teacher,58,Writer,17,Librarian,13,Editor,8,Journalist,4
Name Something You Wave In The Air.,Hands,39,Flag,24,Sign/Banner,13,Kite,11,Lighter,6
Which Piece Of Playground Equipment Has Probably Resulted In The Most Injuries?,Swings,36,Jungle Gym,30,Slide,23,Seesaw,4,Merry Go Round,4
"Name An Animal That’s Usually Not Dangerous, But Many People Are Afraid To Touch",Dog,45,Snake,36,Skunk,6,Frog,5,Mouse,5
Name Something You Need When You’re Moving.,Moving Truck,44,Boxes,33,Dolly,12,friends To Help,6,Movers,4
Name An Appetizer You Might Find Served At A Bar,Peanuts,36,Chicken Wings,21,Pretzels,19,Popcorn,9,Nachos,9
"Other Than A Canvas, Name Something That You Put Paint On.",Wall,39,House/Building,33,A Face,13,Porch/Fence,8,Nails,4
Name A Reason You Might Have To Get A Change For A Dollar,Make A Phone Call,47,Vending Machine,38,Parking Meter,5,Bus Fare,4,Newspaper Machine,3
Name A Member Of The Celebrity Elite Who Is Famous For No Apparent Reason.,Paris Hilton,38,Kevin Federline,18,Donald Trump,16,Kim Kardashian,14,Nicole richie,12
Name Something A Driver Might Do When He Sees A Police Car.,Slow Down,67,Pull Over,10,Put Seat Belt On,9,Run The Other Way,7,Panic,5
Name An Office Supply That You’d Be Surprised To See On Your Kid’s List Of School Supplies.,Computer,35,Stapler,27,Copier/Fax,18,Envelopes,5,Paper Clips,5
"Besides Your Plane Ticket, Name Something You Can Spend Money On At An Airport",Food/Drink,44,Magazine/Paper,27,Souveniers,11,Luggage Fee,9,Parking,6
Name Something You Tap.,Foot,34,Table,16,Fingers,16,Drum,12,Pencil,12
What Would You Be Surprised To See A Child Do At A Bowling Alley?,Get A Strike,66,Smoking,12,Drinking,10,Sleeping,6,Perfect Game,3
Name A Door That You’d Hate To Leave Unlocked Accidentally,Front Door,37,Car Door,35,Bathroom Door,13,Safe,7,Pet,5
"What Does A Businessman Use When Making Speeches, But Pastors Don’t During Their Sermons?",Note Cards,55,Chart,14,Pointer,11,Powerpoint,11,Projector,7
Name Something Kids Look Forward To,Vacation,41,Christmas,29,Birthday,13,Gifts,5,Recess,5
Name A Piece Of Information That Might Be On A Dog’s Tag.,Name,42,Address,22,Phone Number,21,Owner’s Name,11,Reward,2
Name A Specific Occupation Where They Wear Sneakers.,Basketball Player,55,Coach,15,Tennis Player,14,Nurse,6,Runner,4
Name Something A Pet Might Do To Its Owner’s Shoes.,Chew/Bite Them,54,Relieve Thenselves,28,Hide Them,7,Drool/Lick Them,7,Smell Them,3
Name Something About You That Has Not Changed As You’ve Gotten Older,Personality/Attitude,41,Eyes,34,Name,11,Sense Of Humor,6,Smile,5
"If You Were Designing An Airport, Name Something You’d Make Sure There Was A Lot Of.",Bathrooms,30,Runways,24,Chairs,22,Computers,10,Smoking Areas,8
Name Something That Might Be Carved Into A Christmas Ice Sculpture.,Angel/Religious Fig.,39,Tree,24,Santa/Reindeer,15,Penguins/Animals,8,Snowflake,5
Name A Reason Why A Man Might Delay Proposing To His Girlfriend.,Nervous,38,No Money,33,Not Ready,17,Unsure,6,Someone Else,5
Name Something A Deejay Needs To Play A Gig.,Music,34,Turntable,23,Microphone,16,Laptop/Ipod,12,Sound System,9
Name A Job From Which You Would Come Home Smelling Really Good.,Baker,41,Perfume Seller,32,Florist,14,Chef,9,Spa Employee,3
Name Something People Do With Pennies.,Save Them,68,Throw In A Fountain,12,Roll Them Up,9,Throw Them Away,3,Spend Them,3
Tell Me A Reason You Might Be Low On Sleep.,Overworked,44,kids/New Baby,26,Can’t Sleep,13,Sick,6,Studying,5
Name Something Oprah Winfrey Has That The Average Woman Admires.,Money,49,Talk Show,15,Self Esteem,12,Charisma,11,Style,8
What Might A Bankrobber Wear In Order To Keep His Identity A Secret?,Mask,58,Gloves,13,Wig,10,Hat,8,Sunglasses,5
Name An Expensive Food That You Wouldn’t Serve At A Kid’s Birthday Party,Caviar,31,Filet Mignon,27,Lobster,24,Shrimp,8,Sushi,7
Name A Department Store Where People Shop During The Holidays.,Wal Mart,38,Macy’s,37,Sears,13,J C Penny,5,Target,2
Name Something You Should Always Carry Extra Of When Flying By Plane.,Money,38,Change Of Clothes,23,Snacks,17,Gum,10,Tissue,7
What Might You Find In Your Food That Belongs To The Cook?,Hair,46,Ring,23,Fingernail,17,Bandage,5,Tooth,3
Name A Type Of TV Show That You Wouldn’t Want To See Your Grandma On,Reality TV,33,Talk Show,33,Dating Show,14,Romantic Drama,9,True Crime,5
Name Something People Take Along To Make A Long Car Ride Go Faster.,Music,38,Reading Matereal,27,Games,14,Snacks,10,TV/Movie,5
Name Another Word For “Ugly.”,Gross,25,Hideous,23,Homely,18,Nasty,15,Unattractive,14
Where In Your House Do You Look For Something That’s Been Packed Away For Winter?,Attic,41,Closet,32,Basement,15,Garage,6,Under Bed,4
"When Living In An Apartment, Name Something You Can Often Hear Your Neighbors Doing.",Fighting,51,Talking,24,Watching TV,12,Partying,5,Vacuuming,3
Name A Service A Hotel Provides That You With You Had At Your House.,Room Service,42,House Keeping,33,Massage,13,Laundry,7,Valet,5
Name A Way People Get To Work In The Morning.,Car,44,Public Transportation,20,Carpool,15,Bike,10,Walk,5
"Name Something That Farmers 100 Years Ago Did By Hand, But Now Do With Machines.",Plow The Field,36,Plant Seeds,24,Milk Cows,23,Harvest Crops,11,Water Crops,5
Name A Sport Where Players Lose Teeth.,Hockey,49,Boxing,33,Football,10,Baseball,4,Wrestling,2
Name A Patriotic Song,Star Spangled,35,God Bless America,25,Born In The USA,15,Amer The Beautiful,12,Yankee Doodle,7
Name Something People Put On The Outside Of Their Car.,Wax,29,Sticker,28,License Plate,15,Cover,15,Antenna,5
Which Traditional Dish Would You Prepare For Somebody Learning About American Culture?,Hamburger,39,Fried Chicken,20,Pizza,17,Hot Dog,13,Apple Pie,8
"If Your Cat Learned To Speak, Name Something It Would Ask For",Food/Milk,43,Pets/Scratches,25,Clean Litterbox,10,Catnip,7,Attention,4
Name A Reason Why A Student Might Be Moved To The Front Of The Class,Poor Vision,46,In Trouble,23,Teacher’s Pet,23,Hear Better,5,Attractive Teacher,3
Name An Activity Some Men Do With Their Buddies Where Wives Aren’t Invited,Play Poker,35,Go To Bar,30,Watch Sports,12,Golf Outing,11,Bachelor Party,6
Name Something People Do With Their Dogs That They Don’t Do With A Pet Goldfish.,Walk,40,Pet,31,Play Fetch,16,Groom,5,Bathe,3
"Name A Minor Ailment You Can’t Stop Your Body From Doing, But Would Dread Having Happen At Your Wedding Ceremony.",Hiccups,30,Coughing/Choking,21,Pass Gass,19,Sneezing Fit,13,Bloody Nose,12
What Might A Girl Wear For The First Time To Her Junior High Dance?,Formal dress,39,High Heels,26,Makeup,17,Coursage,11,Bra,4
Tell Me Something A Woman Might Do To Spoil Herself (More Specific Than “Spa”).,Shop,38,Manicure,24,Hair Salon,20,Massage,11,Bubble Bath,6
Name A Movie About Baseball Players,Angels In Outfield,29,League Of Their Own,18,Field Of Dreams,17,The Natural,16,Bull Durham,14
Name A Baby Farm Animal That A Child Would Probably Want To Keep As A Pet.,Piglet,37,Lamb,24,Chick,19,Kid/Goat,9,Bunny,8
Name Something In Your Wallet That Might Be Used For An ID,Driver’s License,55,Social Security,25,School ID,9,Credit Card,6,Business Card,3
Name A Way That People Spoil Their Pets.,Give Them treats,31,Feed Too Much,20,Sleep With Them,15,Buy Them Clothes,12,Buy Them Toys,9
"Other Than An Alarm, What Do People Use To Wake Them Up?",Cell Phone,38,Radio,22,Rooster,21,Sun,11,Cat/Dog,6
Name A Type Of Sauce That You’d Never Put On Pasta,Apple Sauce,30,Hot Sauce,26,Ketchup,16,BBQ,13,Chocolate Sauce,12
Name An Occasion Or Place Where You Would Not Admit That You Don’t Like The Food.,Wedding,38,Family Dinner,28,Birthday Party,12,On A Date,6,Church Picnic,3
Name A School Supply That You Haven’t Used Since You Were Young.,Crayon,38,Ruler,25,Pencil/Eraser,18,Paste/Glue,11,Compass,5
"Name A Specific Food That’s Hard To Cook Well, Without Burning",Steak,31,Eggs,26,Toast,19,Chicken,11,Cookies,8
"Other Than Sleep, Name Something You Do While Lying Down",Read,36,Watch TV/Movie,27,Make Love,19,Sun Bathe,6,Exercise,3
Name A Word That Starts With “F” That Best Describes Your Cat,Furry/Fluffy,38,Fat,31,Funny,13,Fast,8,Frisky,3
Name Something A Kid Might Do To Get Out Of Taking A Bath,Cry/Tantrum,40,Go To Bed,21,Fake Sickness,15,Run,12,Hide,9
Name Something Ugly That Can Grow On Your Feet,Corn,38,Athletes Foot,30,Wart,19,Bunion,7,Ingrown Toenail,6
Name Something About Wonder Woman The Average Woman Might Envy,Body,60,Power,19,Strength,9,Looks,5,Invisible Plane,3
Why Might Someone Who Doesn’t Like Reading Go To The Library?,Use Computer,36,Study,31,Meet People,13,Research,10,It’s Quiet,5
"We Asked 100 Husbands: If Your Wife Had A Personal Assistant, Name Something They’d Be Asked To Do.",Cook,39,Clean,25,Laundry,17,Shop,12,Make Coffee,4
"Name A Famous Male, Real Or Fictional, Who Wears Tights",Robin Hood,35,Superman,27,Peter Pan,13,Batman,10,Mikhail Barishnikov,9
Name A Beverage That’s Not Sweet,Coffee,28,Water,25,Tea,19,Beer,17,Milk,8
Name Something People Go To That Might Be Sold Out,Concert,47,Movies,25,Sports Event,11,Theatre,9,Musical,3
Name A Reason Why Parents Say That Childhood Is Better Than Adulthood.,No Bills,53,No Work,19,No Worries,12,More Fun/Playing,9,No Resposibility,6
Name A Fruit That Starts With The Letter “P.”,Pear,28,Peach,25,Pinapple,17,Plum,15,Papaya,9
Name A Way That You Wish Your Life Was More Like Your Cat’s Life,Sleep All Day,38,Have 9 Lives,22,Pleny Of Food,19,No Job,15,Plenty Of Play Time,5
Name Something You Do To Your Lawn That You Would Never Do To Your Wall-To-Wall Carpet.,Water It,39,Cut It,36,Fertilize It,13,Plant Flowers,4,Rake It,2
Name Something People Do While Telling A Lie That Gives Them Away.,No Eye Contact,38,Stutter,25,Sweating,15,Smile/Nervous Laugh,11,Red Face,5
Name Someone You Might Tip At A Hotel,Bellhop,67,Doorman,14,Waiter,7,Maid,5,Room Service,4
"Tell Me Something You Would Let Your Dog Do, But Not Your Child.",Pee Outside,31,Lick,24,Drink From Toilet,17,Eat Scraps,15,Run Loose,9
Name Something That You Could See On An Alaskan Cruise That You Probably Wouldn’t See On A Caribbean Cruise,Iceberg,37,Snow,29,Polar Bear,21,Whale,6,Seal,4
Name Something That Comes In A Bottle,Soda,29,Beer,24,Perfume,20,Milk,12,Shampoo,9
"Tell Me An Activity That Some People Are Told To Do More Of, And Others Are Told To Do Less.",Exercise,44,Eat,35,Talk,8,Work,8,Sleep,3
Name A Specific Quality That Would Make Your Buddy A Bad Wing Man,Very Shy,36,Too  Handsome,22,Drinks Too Much,15,Bad Hygeine,12,Smokes,5
What Did 100 Wives Say Their Husbands “Always Think They’re Right About” In An Argument?,Money,34,Raising Kids,26,Romance/Relationship,11,Cars,8,Sports,6
Name Something That Superstitious People Believe Will Bring Bad Luck.,Black Cat,65,Breaking A Mirror,18,Walk Under A Ladder,9,Number 13,3,Step On A Crack,3
Name A Way You Might Be Able To Tell What Someone Just Had For Lunch.,Breath,68,Burp,15,Stains,7,Crumbs On Teeth,4,They Vomit,4
Name Something That Has Springs In It.,Bed,57,Couch,17,Chair,12,Pogo Stick,8,Trampoline,5
Name Something That Might Cause A Real Life Friendly Feud Among Neighbors.,Noise,33,Money/Property,26,Dogs/Pets,15,Naughty Kids,14,Unkempt Yard,9
Name Something People Do On Ice,Skate,70,Play Hockey,9,Fall Down,8,Ice Fish,7,Walk,3
Name Something You Might Do After Your House Has Been Robbed.,Call Police,62,Get An Alarm,16,Move,11,Cry,6,Yell,5
How Many Days Does A Cold Last?,7,36,3,25,5,17,4,10,6,6
Tell Me How Fast Most People Drive On The Freeway. (Numeric Only),70,33,75,31,65,14,80,12,60,7
Name Something You Do When Approached By A Salesperson At A Store.,Avoid Them,45,Ask For Help,18,Smile,17,Say Hi,10,“Just Looking”,10
"When Traveling Overseas, Tell Me The Ideal Amount Of Time To Be Away From Home",2 Weeks,24,3 Weeks,20,1 Week,13,1 Month,5,10 Days,4
Name A Controversial American President,George W Bush,33,Richard Nixon,29,Bill Clinton,25,John F Kennedy,3,Abraham Lincoln,3
Name An Occupation Where You Have To Be Really Smart,Doctor,41,Lawyer,28,Scientist,13,Engineer,6,Accountant,6
Name A Profession Where Neatness Counts,Doctor/Nurse,35,Maid,23,Teacher,16,secretary,14,Accountant/Banker,9
Name Something Your Spouse Does To Let You Know They’re “In The Mood For Love.”,Kiss/Touch,44,Touch,18,Turn On Music,12,Undress/Change Clothes,10,Acty Flirty,5
Name Something A Person Might Change After Breaking Up With A Partner.,Phone Number,37,Hair,21,Name,18,Locks,12,Address,6
Name Something A Firefighter Needs A Lot Of,Water,75,Strength,9,Rest,4,Ladders,4,Air,2
Name Something A Reality Show Is Incomplete Without.,Drama/Fighting,53,Contestants/Celebs,24,Romance,12,Camaras,6,Alcohol,4
Name A Way In Which Sitcom Characters Are Typically Different From Real People,Funny,43,They’re Acting,16,Always Happy,13,Rich,11,Always Look Good,11
Name Something People Might Buy For Their New Goldfish.,Food,46,Tank,26,Some Rocks,14,Castle,5,Another Goldfish,4
Name A Sound You’d Hear At A Boxing Match,Bell,75,Cheering,10,Booing,5,Punching,3,Applause,2
Name A Fruit That You Might Accidentally Swallow The Seeds Of.,Watermelon,47,Grape,24,Cherry,15,Orange,8,Apple,4
Name Something Your Physician Asks That Would Be Strange To Ask A Person Who You Just Met.,Weight,61,Age,17,Date Of Last Cycle,11,High Blood Pressure,5,Are You Pregnant,4
What Part Of The School Day Might A Kindergartener Look Forward To?,Recess,42,Lunch,23,Nap Time,18,Going Home,9,Art,6
Name Something A President Probably Has With Him Everywhere He Goes?,Secret Service,51,Cell Phone,21,Money,10,First Lady,9,Assistant,5
Name A Profession You’d Shoot For If You Wanted To Be Famous.,Actor,54,Musician,26,Model,7,Politition,6,Athlete,4
"If You Were Turned Into A Bird, Name Something You’d Have To Learn How To Do",Fly,86,Build A Nest,5,Eat Worms,4,Sing,2,Avoid Cats,2
Name An Occasion Where You Might Send Out Invitations.,Wedding,57,Birthday,22,Party,10,Graduation,6,Baby Shower,5
"Name Something You Would Do In Front Of Children, But Would Be Embarrassed To Do In Front Of Other Adults",Sing,33,Pass Gass/Burp,26,Dance,20,Play,13,Baby Talk,6
"Besides Your Mother, Name A Female Who Told You What To Do While You Were Growing Up",Grandmother,32,Aunt,30,Teacher,19,Older Sister,15,Babysitter,4
Name Something A Shoe Salesman Might Complain About.,Stinky Feet,78,Ugly Feet,7,Returns,3,Big Feet,3,Backache,2
"Name Something Karaoke Singers Use For Help, But A Real Singer Shouldn’t Need.",Lyrics,55,Alcohol,15,Microphone,9,Music,8,Backup Vocals,4
Name Something You Know About Shaquille O’Neal.,Tall,38,Basketball Player,32,Raps,13,Officer,7,Bad Actor,6
Name A Type Of Event That Adults Dress Up To Go To But Kids Would Find Boring?,Opera,36,Broadway/Play,22,Wedding,15,Symphony,14,Ballet,9
Name A Chain Store That’s Put A Lot Of Mom And Pop Stores Out Of Business,Wal Mart,61,Starbucks,15,Home Depot,7,McDonald’s,6,Barnes & Noble,5
We Asked 100 Wives: Name A Place In The House Where Your Husband Spends More Time Than You Do,Bathroom,43,Garage,26,TV/Living Room,19,Bedroom,7,Basement,3
Name A Situation Where You Wouldn’t Want Someone Looking Over Your Shoulder.,Test,46,Office,20,In The Bedroom,18,ATM,9,Bathroom,3
Name Something You Can’t Be Afraid Of If You Want To Become A Vampire,Blood,72,The Dark,8,Cross,7,Neck Bites,4,Bats,2
"What Do You Do If You’re Eating At A Friend’s House, And Don’t Like The Food?",Eat It Anyway,33,Pretend To Eat It,28,Excuse Yourself,14,Say “Not Hungry”,10,Be Honest,9
Name A Place Where Everyone Seems To Be In A Good Mood.,Place Of Worship,25,Bar,24,Amusement park,22,Party,15,Beach,8
Name Something A Goldfish Might Complain About,Dirty Water,40,No Food,37,Bowl Too Small,10,Not Enough Water,3,Beat Up By Other Fish,3
"Besides Books, Name Something People Read.",Magazines,49,News Papers,43,Road Signs,4,Poems,2,Billboards,2
Name Something Dogs Are Trained To Find,Illegal Substance,47,Criminals,18,Bones,15,Missing People,11,Birds,3
Tell Me Something You Would See In A Blues Brothers Movie.,Sunglasses,38,Dancing,16,Hats,15,Musical Insruments,13,Black Suits,12
Name Something People Do To Their Hair That Makes Them Look Silly.,Dye It,64,Mohawk,14,Get A Bad Haircut,6,Curling,5,Bleach,5
Name The Last Thing You Read On The Internet That You Wish You Hadn’t.,News,53,Email/Spam,18,Gossip,11,Bills/Accounts,8,Blog/Comments,4
"In Order To Solve A Crime, What Does An Investigator Need To Find?",Prints,36,Weapon,34,DNA,17,Suspect,5,Blood,5
Name A Sport That Can Only Be Played Outdoors In The Winter?,Ice Hockey,34,Skiing,30,Ice Skating,15,Snowboarding,13,Bobsledding,6
Name Something Cindy Crawford Is Known For,Mole,35,Modeling,31,Beauty,23,Aerobics,7,Body,3
Name A Famous Past Or Present Couple Who You’d Hate To Live Next Door To.,The Osbournes,38,Brad & Angelina,29,Jon & Kate,13,Addams Family,9,Bonnie & Clyde,6
Name Something People Eat With Chili.,Crackers,52,Cheese Sauce,29,Hot Dogs,8,Chips,4,Bread,2
Name Something A Bird Watcher Carries With Them,Binoculars,79,Camara,11,Bird Book,4,Notepad,3,Bread,2
Name Something People Do To Make Their Breath Smell Good.,Brush Teeth,44,Mints/Gum,30,Mouthwash,13,Floss,4,Breath Spray,3
Name Something Specific That Must Be Really Hard For Astronauts To Do While In Space.,Eat/Drink,29,Use The Bathroom,28,Move Around/Exercise,20,Sleep,16,Breathe,3
Name Something You Might See In A Museum About The Old West.,Gun,31,Pictures,24,Covered Wagon,16,Stagecoach,14,Buffalo,12
"Besides A Waiter, Name A Job At A Restaurant.",Chef,66,Host,8,Dishwasher,8,Cashier,7,Busser,6
Name A Part Of The Body That’s Often Sore After Exercise.,Legs,41,Arms,31,Back,17,Stomach,5,Butt,4
"When You Were A Little Kid, Where Did You Think Babies Came From.",Stork,56,Mother’s Stomach,23,Heaven,7,Already Knew,6,Cabbage Patch,3
Name A Feature TV Sets Have Today That They Didn’t Have 50 Years Ago,Remote Control,58,Color,30,Video player,4,Video Jacks,3,Cable,2
Name Something That Might Have Nuts In It?,Candy,33,Cookies,21,Brownies,18,Pies,15,Cake,9
Name Something A Student Might Turn On When They’re Studying.,Radio,44,Light,23,TV,12,Computer,11,Calculator,5
"Name A Creature That, Until It Moves, You Don’t Know Its Head From Its Tail.",Snake,33,Worm,26,Turtle,16,Ant,13,Caterpillar,5
Name Something You Can Test In The Store Before Buying It,Perfume,38,TV,26,Clothes/Shoes,12,Computer,11,CD,8
Name Someone Who Might Work At A Mansion.,Maid,45,Butler,37,Cook,5,Gardener,5,Chauffeur,2
Name Something That Can Make An Ordinary Dinner Romantic.,Candles/Lighting,35,Wine,28,Flowers,21,Music,9,Chocolates,3
Name A Specific Bowl Game That Takes Place During The Holidays,Rose Bowl,38,Orange Bowl,20,Cotton Bowl,17,Sugar Bowl,11,Citrus Bowl,9
Name Something A Housekeeper Uses As Part Of Her Job,Vacuum,38,Broom,21,Mop,21,Dust Cloth,9,Cleaner,5
Name Someone Who Might Make A Speech At A Wedding.,Best Man,43,Parent,28,Bridesmaid,14,Bride/Groom,9,Clergy Member,5
Name A Reason Parents Might Want Their Kid To Go To A Particular College.,Alma Mater,43,Better Academics,19,Reputation Of School,16,The Cost,12,Close To Home,9
Name Something A Person Sits Next To On A Hot Day,Fan/Air Conditioner,45,Swimming Pool,20,Ocean/Lake,12,Tree/Shade,11,Cold Drink,9
Why Might A Person Refuse To Remove Their Shoes At A Party?,Smelly Feet,37,Dirty Floor,33,No Socks,11,Ugly Feet,10,Cold Feet,4
Where Were You The Last Time You Had A Bit Too Much To Drink.,Bar,52,Home,16,Holiday Party,15,Wedding,8,College,7
What Can You Consult For Directions When You’re Lost?,Map,55,GPS,27,Gas station Attendant,8,Police,6,Compass,3
Name Something Your Mom Told You Was The Key To A Happy Marriage,Love,39,Trust,33,Healthy Love Life,11,Communication,10,Compromise,3
Name An Image That’s Often Used In Ads At Thanksgiving.,Turkey,44,Family Dinner,24,Pilgrims,17,Native Americans,10,Cornucopia,5
Name A Magazine Teenagers Buy.,Seventeen,37,Teen,26,Tiger Beat,17,Teen People,8,Cosmogirl,7
Name A Place Where Someone Might Practice Driving For The First Time.,Parking Lot,68,Driving School,11,Field,8,Driveway,8,Country Road,3
Name An Occasion That It Would Not Be Fashionable To Arrive Late To.,Wedding,42,Funeral,30,Work/Meeting,13,Job Interview,7,Court,5
Name A Place Where You Would Not Be Allowed To Chew Gum.,School,60,Church,25,Library,4,Singapore,3,Court,3
Name Something People “Run” For.,Office,53,Marathon,23,Health,16,Their Life,3,Cover,3
Name Something You Might Need If You’re Eating A Lobster,Butter,30,Bib,29,Fork,19,Napkin,8,Cracking Tool,8
Name A Reason Why Basements Are Often Less Cozy Than The Rest Of A House,Cold,33,Dark,23,Cement Floors,17,Damp,14,Creatures Live There,8
Name A Type Of TV Show That You Can’t Imagine Having An Audience Laugh Track.,News,43,Soap Opera,26,Reality TV,14,Talk Show,9,Crime Drama,4
"If Peter Pan Had A Phone, Name Someone He’d Probably Have On Speed Dial.",Tinker Bell,55,Wendy,34,Captain Hook,6,Lost Boys,3,Croc,2
Name Something Snoopy Does That Your Dog Would Not,Talk,34,Fly/Pilot,27,Sleep On House,16,Read/Write,13,Dance,8
Name Something A Rock Musician Might Do During A Concert That Would Look Funny For A Classical Musician To Do.,Scream,32,Smash Instrument,26,Jump Around,19,Take Off Shirt,9,Dance,8
Name Something That Would Cause You To Quit Your Job On Your First Day,Rude Boss,44,Too Stressfull,27,Bad Pay,14,Long Hours/Schedule,8,Dangerous,5
"Name Something The Government Knows About You, But You Wouldn’t Talk To A Co-Worker About.",Income,31,Tax Information,26,Social Security,21,Criminal Record,15,Debt,5
Name Something You Spray On Yourself That Would Sting If It Got In Your Eyes.,Perfume,34,Insect Repelant,26,Hairspray,19,Sunscreen/Tan,15,Deoderant,4
Name Something People Use Pins For.,Clothes,35,Sewing,34,Hold Papers,10,Hair,8,Diapers,5
Name Something An Auto Racer Hopes Won’t Happen To Him During A Race.,Crash,62,Engine Trouble,12,Runs Out Of Gas,10,Flat Tire,10,Die,6
Name Something That Might Get You To Watch A New TV Show,Advertisement,50,Stars,20,Appears Funny,10,Win Money,9,Different,6
Name Something That Has Bubbles In It.,Soda,35,Champagne,27,Bubble Bath,20,Soap,11,Dishwashing Liquid,4
What Might A Celebrity Do That Causes People To Criticize Him?,Party,55,Cheat,17,Drive Carelessly,9,Get Arrested,8,Divorce,5
Name A Public Place Where You Undress,Dressing Room/Store,32,Beach/Pool,29,Restroom,15,Locker Room,13,Doctor’s Office,8
Name A Piece Of Information That Can Be Found On A Prescription Bottle.,Patient Name,33,Directions,30,Date/Expiration,16,Drug/Ingredients,11,Doctor/Contact,8
Name Something Kids Insist On Doing By Themselves Even If It Takes A Long Time.,Tying Their Shoelaces,30,Getting Dressed,28,Eating,24,Taking A Bath,4,Doing Their Homework,3
Name A Talk Show You Might Go On To Tell About Your Disaster Wedding.,Oprah,36,Jerry Springer,36,Maury,17,Tyra Banks,4,Dr Phil,4
Name Something Doctors Are Always Telling People To Stop Doing,Smoking,69,Eating Too Much,15,Eating Junk,8,Too Much Salt,4,Drinking Alcohol,2
Name Something That Would Prevent A Person From Becoming A Pilot.,Bad Vision,56,Fear Of Flying,17,Fear Of Heights,13,Criminal Record,6,Drinking Problem,6
"In The Heat Of A Passionate Moment, Which Disney Character’s Name Would Be Hardest To Say With A Straight Face",Goofy,40,Mickey Mouse,24,Donald Duck,14,Dopey,11,Dumbo,8
Name A Place A Baby Sticks His Fingers That He’s Not Supposed To,Socket,39,Nose,21,Mouth,18,Light Switch,9,Ear,8
What Kind Of A Weather Event Makes The Front Page Of The News?,Hurricane,32,Snow/Blizzard,31,Tornado,28,Flood,4,Earthquake,3
Name Something That A Circus Performer’s Parents Would Cringe At Seeing Him Perform.,Tight Rope,43,Trapeze,28,Taming Lion,12,Sword Swallowing,9,Eating Fire,7
Name Something Specific People Put Salsa On,Chips,63,Tacos,22,Enchaladas,4,Burritos,3,Eggs,2
Name A Place On Your Body That You Can’t Scratch When It Itches,Back,44,Bottom,24,Foot,13,Throat,10,Eyes,8
What Is The Most Used Room In Most Homes?,Bathroom,30,Living Room,27,Kitchen,25,Bed Room,14,Family Room,3
Why Might A Person Use Stairs Instead Of The Elevator?,Exercise,61,Fire,20,Elevator Broken,6,Fear Of Small Spaces,6,Faster,3
Name Something You’d Wear To A Roaring ’20s Themed Party.,Hat/Headband,34,Flapper Dress,25,Beads,16,Wig/Bob,14,Feather/Boa,9
Name Something You Order At McDonald’s That You’d Never Order At A Fancy French Restaurant.,Hamburger,45,French Fries,27,Chicken Nuggets,10,Milkshake,8,Filet O Fish,5
Name Something You Might See In A Hunting Lodge,Mounted Animal Heads,55,Guns,20,Hunters,9,Antlers,5,Fireplace,5
Name Something Boy Scouts And Girl Scouts Both Learn To Do,Start Fire,38,Door To Door Sales,27,Camp,24,Community Service,6,First Aid,3
Name A Good Occupation For A Woman Who Was Head Cheerleader.,Dancer,33,Coach/Teacher,28,Model,16,Motivational Speaker,12,Fitness Instructor,9
Name Something You Might Use A Flashlight While Doing,Camping,42,Searching For Something,27,Reading,11,Hiking,11,Fixing A Car,7
Name Something That Supermodels Would Rather Do Without.,Food/Diet Food,38,High Heels,18,Camaras,16,Makeup,13,Flaws,9
Name Something At Your Company Holiday Party That Could Lead You To Embarrass Yourself.,Open Bar,45,Dance Floor,22,Karaoke,12,Mistletoe,9,Free Food,7
Name Someplace That Kids Need Their Parents To Drive Them,School,41,The Mall,20,The Movies,15,Clubs/Practice,12,Friemd’s/Party,10
Tell Me A Smell Most People Hate.,Skunk,37,Rotten Eggs,15,Ammonia,8,Onion,8,Garlic,7
Name A Foreign Language That Is Not Usually Offered In High School,Japanese,29,Chinese,23,Latin,21,Russian,18,German,9
